Ticket ID,Ticket Subject,Ticket Type,predicted_type,Ticket Priority,predicted_priority
1831,Network problem,Technical issue,Technical issue,High,Medium
1832,Battery life,Technical issue,Technical issue,Low,Low
1833,Hardware issue,Cancellation request,Cancellation request,Low,High
1834,Product compatibility,Technical issue,Refund request,Medium,Medium
1835,Installation support,Product inquiry,Product inquiry,Critical,Low
1836,Account access,Technical issue,Technical issue,Critical,Critical
1837,Product recommendation,Product inquiry,Technical issue,Critical,Low
1838,Installation support,Billing inquiry,Technical issue,Medium,Medium
1839,Software bug,Refund request,Refund request,Low,Medium
1840,Display issue,Refund request,Billing inquiry,High,Medium
1841,Peripheral compatibility,Technical issue,Technical issue,Medium,Medium
1842,Account access,Cancellation request,Refund request,Medium,Medium
1843,Product setup,Cancellation request,Technical issue,Critical,Critical
1844,Network problem,Cancellation request,Billing inquiry,High,Medium
1845,Network problem,Billing inquiry,Billing inquiry,Critical,High
1846,Display issue,Product inquiry,Product inquiry,Low,Low
1847,Product setup,Technical issue,Technical issue,High,High
1848,Hardware issue,Technical issue,Refund request,Critical,Critical
1849,Payment issue,Cancellation request,Cancellation request,Medium,Medium
1850,Payment issue,Billing inquiry,Billing inquiry,Low,High
1851,Hardware issue,Product inquiry,Refund request,Medium,Critical
1852,Peripheral compatibility,Cancellation request,Cancellation request,Medium,Medium
1853,Battery life,Technical issue,Billing inquiry,Low,Low
1854,Product recommendation,Technical issue,Technical issue,High,High
1855,Cancellation request,Technical issue,Refund request,Medium,High
1856,Cancellation request,Refund request,Refund request,High,High
1857,Cancellation request,Product inquiry,Product inquiry,Critical,Critical
1858,Product recommendation,Technical issue,Technical issue,Critical,Critical
1859,Payment issue,Refund request,Billing inquiry,High,Medium
1860,Product compatibility,Refund request,Product inquiry,Critical,Critical
1861,Product setup,Cancellation request,Product inquiry,Medium,Low
1862,Hardware issue,Product inquiry,Product inquiry,Medium,Medium
1863,Refund request,Refund request,Billing inquiry,Medium,Medium
1864,Payment issue,Cancellation request,Cancellation request,Low,Medium
1865,Account access,Product inquiry,Refund request,Medium,High
1866,Cancellation request,Technical issue,Refund request,Critical,Critical
1867,Software bug,Refund request,Refund request,Low,Low
1868,Delivery problem,Cancellation request,Cancellation request,High,High
1869,Battery life,Cancellation request,Technical issue,Medium,Medium
1870,Hardware issue,Billing inquiry,Billing inquiry,Critical,Critical
1871,Payment issue,Refund request,Billing inquiry,Medium,High
1872,Software bug,Billing inquiry,Product inquiry,Low,Medium
1873,Peripheral compatibility,Billing inquiry,Billing inquiry,Low,Low
1874,Installation support,Billing inquiry,Cancellation request,Medium,High
1875,Hardware issue,Product inquiry,Product inquiry,Critical,Critical
1876,Hardware issue,Product inquiry,Product inquiry,Low,Low
1877,Display issue,Technical issue,Refund request,High,Critical
1878,Account access,Billing inquiry,Refund request,Medium,Critical
1879,Peripheral compatibility,Cancellation request,Billing inquiry,Medium,High
1880,Network problem,Cancellation request,Refund request,High,Low
1881,Battery life,Product inquiry,Cancellation request,Low,Low
1882,Delivery problem,Billing inquiry,Refund request,Low,Low
1883,Installation support,Product inquiry,Technical issue,High,Low
1884,Account access,Billing inquiry,Billing inquiry,Critical,Critical
1885,Network problem,Refund request,Refund request,High,Low
1886,Product setup,Refund request,Refund request,Medium,Critical
1887,Product compatibility,Cancellation request,Technical issue,High,Low
1888,Delivery problem,Cancellation request,Technical issue,High,High
1889,Peripheral compatibility,Product inquiry,Cancellation request,Medium,Medium
1890,Product setup,Cancellation request,Refund request,Critical,Low
1891,Hardware issue,Refund request,Cancellation request,Low,Critical
1892,Software bug,Cancellation request,Technical issue,High,High
1893,Data loss,Cancellation request,Cancellation request,Medium,Medium
1894,Payment issue,Product inquiry,Product inquiry,Low,Medium
1895,Refund request,Refund request,Billing inquiry,Low,Low
1896,Installation support,Cancellation request,Cancellation request,Medium,Medium
1897,Peripheral compatibility,Product inquiry,Product inquiry,Medium,Medium
1898,Cancellation request,Technical issue,Billing inquiry,Medium,Medium
1899,Peripheral compatibility,Billing inquiry,Refund request,Critical,Critical
1900,Hardware issue,Refund request,Cancellation request,High,Medium
1901,Battery life,Cancellation request,Refund request,Low,High
1902,Peripheral compatibility,Cancellation request,Technical issue,Low,Medium
1903,Hardware issue,Cancellation request,Cancellation request,Medium,Critical
1904,Product recommendation,Product inquiry,Product inquiry,Low,Low
1905,Data loss,Product inquiry,Technical issue,Low,High
1906,Product recommendation,Refund request,Refund request,Critical,Critical
1907,Payment issue,Technical issue,Technical issue,High,Low
1908,Peripheral compatibility,Product inquiry,Product inquiry,Low,Low
1909,Data loss,Product inquiry,Product inquiry,Critical,Critical
1910,Cancellation request,Product inquiry,Product inquiry,Low,Low
1911,Delivery problem,Product inquiry,Billing inquiry,Medium,Medium
1912,Refund request,Product inquiry,Product inquiry,Low,Low
1913,Installation support,Product inquiry,Refund request,High,High
1914,Hardware issue,Refund request,Cancellation request,Low,Critical
1915,Refund request,Technical issue,Technical issue,High,Critical
1916,Network problem,Refund request,Billing inquiry,Low,Medium
1917,Product setup,Cancellation request,Cancellation request,Medium,Medium
1918,Display issue,Product inquiry,Technical issue,High,Critical
1919,Battery life,Product inquiry,Billing inquiry,Critical,Low
1920,Battery life,Billing inquiry,Product inquiry,High,High
1921,Cancellation request,Cancellation request,Refund request,Critical,Low
1922,Network problem,Refund request,Refund request,Critical,Critical
1923,Software bug,Billing inquiry,Technical issue,Low,Critical
1924,Installation support,Technical issue,Product inquiry,Critical,Low
1925,Data loss,Technical issue,Technical issue,High,Low
1926,Payment issue,Product inquiry,Refund request,High,High
1927,Data loss,Cancellation request,Cancellation request,Low,High
1928,Account access,Technical issue,Technical issue,Medium,Critical
1929,Battery life,Product inquiry,Product inquiry,Critical,Critical
1930,Data loss,Cancellation request,Cancellation request,Low,Critical
1931,Payment issue,Billing inquiry,Billing inquiry,Critical,Critical
1932,Product compatibility,Cancellation request,Cancellation request,Medium,Critical
1933,Battery life,Product inquiry,Technical issue,High,Medium
1934,Data loss,Technical issue,Technical issue,Medium,High
1935,Account access,Refund request,Refund request,Critical,High
1936,Battery life,Refund request,Product inquiry,High,High
1937,Installation support,Refund request,Refund request,High,Medium
1938,Product recommendation,Refund request,Product inquiry,High,Critical
1939,Product compatibility,Billing inquiry,Refund request,Critical,Low
1940,Network problem,Product inquiry,Product inquiry,High,High
1941,Payment issue,Refund request,Cancellation request,High,Low
1942,Display issue,Refund request,Cancellation request,Low,Medium
1943,Payment issue,Cancellation request,Cancellation request,Critical,Critical
1944,Refund request,Refund request,Refund request,Critical,High
1945,Account access,Refund request,Billing inquiry,High,High
1946,Battery life,Technical issue,Technical issue,Low,Low
1947,Battery life,Billing inquiry,Billing inquiry,Medium,High
1948,Display issue,Billing inquiry,Refund request,Medium,High
1949,Payment issue,Billing inquiry,Billing inquiry,High,Critical
1950,Software bug,Cancellation request,Cancellation request,High,High
1951,Software bug,Cancellation request,Product inquiry,High,Low
1952,Cancellation request,Product inquiry,Billing inquiry,Low,Low
1953,Cancellation request,Refund request,Refund request,High,High
1954,Cancellation request,Product inquiry,Technical issue,Low,Critical
1955,Product recommendation,Billing inquiry,Billing inquiry,Medium,Medium
1956,Hardware issue,Refund request,Refund request,High,High
1957,Software bug,Technical issue,Billing inquiry,Medium,Medium
1958,Hardware issue,Refund request,Refund request,Medium,Critical
1959,Network problem,Cancellation request,Cancellation request,Critical,Low
1960,Display issue,Refund request,Technical issue,High,Medium
1961,Network problem,Product inquiry,Cancellation request,Medium,Critical
1962,Product setup,Billing inquiry,Billing inquiry,Medium,Medium
1963,Display issue,Technical issue,Billing inquiry,Low,Critical
1964,Peripheral compatibility,Product inquiry,Product inquiry,Medium,Medium
1965,Cancellation request,Refund request,Technical issue,Medium,Medium
1966,Account access,Billing inquiry,Billing inquiry,Medium,Critical
1967,Cancellation request,Product inquiry,Product inquiry,High,Critical
1968,Refund request,Billing inquiry,Refund request,Critical,Critical
1969,Installation support,Cancellation request,Cancellation request,High,Critical
1970,Hardware issue,Refund request,Cancellation request,High,Low
1971,Account access,Technical issue,Technical issue,Critical,High
1972,Software bug,Billing inquiry,Product inquiry,High,High
1973,Payment issue,Refund request,Refund request,High,Critical
1974,Hardware issue,Product inquiry,Refund request,High,Medium
1975,Product setup,Product inquiry,Technical issue,High,High
1976,Data loss,Product inquiry,Technical issue,High,Low
1977,Software bug,Technical issue,Cancellation request,Medium,Medium
1978,Account access,Refund request,Technical issue,High,Medium
1979,Network problem,Product inquiry,Product inquiry,Low,Low
1980,Installation support,Billing inquiry,Billing inquiry,Low,Low
1981,Delivery problem,Technical issue,Billing inquiry,Low,Medium
1982,Display issue,Billing inquiry,Billing inquiry,High,High
1983,Data loss,Product inquiry,Technical issue,Medium,Medium
1984,Peripheral compatibility,Product inquiry,Cancellation request,Low,Low
1985,Product recommendation,Technical issue,Technical issue,High,Low
1986,Delivery problem,Technical issue,Product inquiry,Low,Low
1987,Delivery problem,Billing inquiry,Technical issue,Critical,High
1988,Data loss,Billing inquiry,Billing inquiry,Medium,Medium
1989,Delivery problem,Product inquiry,Product inquiry,Low,Low
1990,Hardware issue,Billing inquiry,Product inquiry,High,Low
1991,Product recommendation,Billing inquiry,Product inquiry,High,High
1992,Display issue,Product inquiry,Product inquiry,Low,High
1993,Hardware issue,Refund request,Refund request,Critical,Low
1994,Delivery problem,Billing inquiry,Billing inquiry,Medium,Medium
1995,Peripheral compatibility,Refund request,Product inquiry,Medium,Low
1996,Network problem,Technical issue,Technical issue,Medium,Low
1997,Delivery problem,Technical issue,Product inquiry,Critical,Low
1998,Product recommendation,Billing inquiry,Billing inquiry,Medium,Medium
1999,Cancellation request,Technical issue,Technical issue,High,Low
2000,Payment issue,Billing inquiry,Cancellation request,Medium,Medium
2001,Product setup,Billing inquiry,Billing inquiry,Low,Medium
2002,Display issue,Technical issue,Cancellation request,Medium,Critical
2003,Refund request,Cancellation request,Billing inquiry,High,High
2004,Network problem,Cancellation request,Technical issue,Critical,Low
2005,Peripheral compatibility,Technical issue,Technical issue,High,High
2006,Installation support,Technical issue,Technical issue,Low,Medium
2007,Software bug,Billing inquiry,Technical issue,High,High
2008,Refund request,Refund request,Cancellation request,Critical,Critical
2009,Battery life,Cancellation request,Cancellation request,Medium,Medium
2010,Product setup,Cancellation request,Refund request,Critical,Critical
2011,Display issue,Product inquiry,Refund request,High,High
2012,Delivery problem,Cancellation request,Cancellation request,Critical,Low
2013,Refund request,Cancellation request,Cancellation request,Medium,Medium
2014,Installation support,Cancellation request,Product inquiry,Medium,Medium
2015,Installation support,Technical issue,Technical issue,Critical,Medium
2016,Peripheral compatibility,Refund request,Technical issue,Low,Low
2017,Delivery problem,Refund request,Refund request,Critical,Critical
2018,Peripheral compatibility,Refund request,Product inquiry,High,Low
2019,Battery life,Product inquiry,Technical issue,Medium,Medium
2020,Product recommendation,Technical issue,Refund request,Low,Low
2021,Software bug,Technical issue,Refund request,Critical,Critical
2022,Account access,Technical issue,Billing inquiry,High,Medium
2023,Peripheral compatibility,Billing inquiry,Technical issue,High,Low
2024,Network problem,Refund request,Refund request,Critical,Critical
2025,Product recommendation,Billing inquiry,Billing inquiry,Low,Low
2026,Installation support,Refund request,Billing inquiry,High,High
2027,Cancellation request,Technical issue,Product inquiry,Low,Low
2028,Refund request,Refund request,Product inquiry,Critical,Medium
2029,Installation support,Product inquiry,Refund request,High,High
2030,Product recommendation,Technical issue,Cancellation request,Medium,Low
2031,Cancellation request,Product inquiry,Cancellation request,Critical,Critical
2032,Product compatibility,Cancellation request,Billing inquiry,Medium,Low
2033,Delivery problem,Cancellation request,Cancellation request,High,Low
2034,Peripheral compatibility,Product inquiry,Technical issue,Medium,High
2035,Peripheral compatibility,Billing inquiry,Billing inquiry,Low,High
2036,Payment issue,Cancellation request,Cancellation request,Medium,Low
2037,Delivery problem,Billing inquiry,Billing inquiry,Critical,Critical
2038,Battery life,Refund request,Refund request,Critical,Low
2039,Installation support,Refund request,Product inquiry,Medium,Medium
2040,Display issue,Technical issue,Billing inquiry,High,High
2041,Payment issue,Cancellation request,Cancellation request,Medium,Medium
2042,Product compatibility,Cancellation request,Cancellation request,Medium,Critical
2043,Software bug,Product inquiry,Product inquiry,Medium,Medium
2044,Refund request,Billing inquiry,Billing inquiry,Medium,Critical
2045,Software bug,Billing inquiry,Product inquiry,High,Critical
2046,Software bug,Product inquiry,Product inquiry,High,High
2047,Installation support,Technical issue,Product inquiry,Critical,Medium
2048,Software bug,Technical issue,Technical issue,Medium,Critical
2049,Battery life,Refund request,Refund request,Critical,Critical
2050,Payment issue,Technical issue,Cancellation request,Medium,Critical
2051,Refund request,Refund request,Product inquiry,Medium,Critical
2052,Product setup,Refund request,Refund request,Critical,Medium
2053,Cancellation request,Product inquiry,Product inquiry,Critical,Critical
2054,Delivery problem,Technical issue,Technical issue,Critical,High
2055,Software bug,Product inquiry,Product inquiry,High,Low
2056,Product compatibility,Cancellation request,Billing inquiry,Low,Medium
2057,Refund request,Technical issue,Product inquiry,Medium,Critical
2058,Network problem,Refund request,Technical issue,Low,Medium
2059,Display issue,Refund request,Refund request,Critical,Critical
2060,Cancellation request,Billing inquiry,Cancellation request,Low,High
2061,Data loss,Technical issue,Cancellation request,Critical,Critical
2062,Refund request,Cancellation request,Cancellation request,High,Medium
2063,Cancellation request,Cancellation request,Cancellation request,High,Medium
2064,Installation support,Refund request,Refund request,Low,Low
2065,Account access,Billing inquiry,Billing inquiry,Medium,Medium
2066,Cancellation request,Technical issue,Refund request,High,High
2067,Peripheral compatibility,Refund request,Refund request,Medium,High
2068,Refund request,Refund request,Refund request,High,High
2069,Hardware issue,Billing inquiry,Cancellation request,Critical,Low
2070,Network problem,Refund request,Refund request,Critical,Critical
2071,Payment issue,Product inquiry,Refund request,Medium,Medium
2072,Software bug,Billing inquiry,Billing inquiry,High,High
2073,Delivery problem,Product inquiry,Cancellation request,Medium,High
2074,Payment issue,Refund request,Refund request,Critical,Critical
2075,Installation support,Cancellation request,Technical issue,Critical,High
2076,Payment issue,Technical issue,Refund request,Medium,Medium
2077,Peripheral compatibility,Billing inquiry,Cancellation request,Medium,Low
2078,Display issue,Technical issue,Technical issue,Critical,High
2079,Software bug,Product inquiry,Refund request,Medium,Critical
2080,Peripheral compatibility,Refund request,Cancellation request,Critical,Critical
2081,Product compatibility,Product inquiry,Refund request,High,High
2082,Product recommendation,Product inquiry,Product inquiry,Critical,Critical
2083,Software bug,Refund request,Refund request,Critical,Medium
2084,Data loss,Product inquiry,Cancellation request,Critical,Critical
2085,Refund request,Technical issue,Technical issue,Medium,Medium
2086,Product recommendation,Product inquiry,Product inquiry,High,High
2087,Battery life,Cancellation request,Cancellation request,High,High
2088,Delivery problem,Billing inquiry,Refund request,Critical,High
2089,Account access,Technical issue,Technical issue,Medium,Medium
2090,Account access,Refund request,Refund request,Low,Low
2091,Account access,Cancellation request,Billing inquiry,Medium,Medium
2092,Installation support,Cancellation request,Cancellation request,Medium,Medium
2093,Cancellation request,Refund request,Cancellation request,Low,Critical
2094,Hardware issue,Billing inquiry,Technical issue,Low,Low
2095,Display issue,Cancellation request,Refund request,High,High
2096,Hardware issue,Product inquiry,Product inquiry,High,Low
2097,Refund request,Refund request,Product inquiry,Critical,Critical
2098,Installation support,Product inquiry,Cancellation request,Medium,Medium
2099,Product recommendation,Technical issue,Refund request,Medium,Critical
2100,Account access,Billing inquiry,Refund request,Critical,Critical
2101,Refund request,Cancellation request,Cancellation request,Medium,Low
2102,Hardware issue,Billing inquiry,Refund request,Critical,Low
2103,Battery life,Billing inquiry,Billing inquiry,High,Low
2104,Software bug,Product inquiry,Product inquiry,Medium,Low
2105,Software bug,Technical issue,Technical issue,Medium,Medium
2106,Product recommendation,Billing inquiry,Billing inquiry,High,Low
2107,Refund request,Refund request,Refund request,Medium,High
2108,Delivery problem,Refund request,Refund request,High,Medium
2109,Installation support,Product inquiry,Product inquiry,High,Critical
2110,Product compatibility,Product inquiry,Product inquiry,Low,Low
2111,Product setup,Technical issue,Cancellation request,Medium,Medium
2112,Software bug,Refund request,Refund request,Critical,High
2113,Data loss,Refund request,Cancellation request,Medium,Medium
2114,Hardware issue,Product inquiry,Product inquiry,High,Low
2115,Delivery problem,Billing inquiry,Billing inquiry,Low,High
2116,Peripheral compatibility,Refund request,Refund request,Low,High
2117,Installation support,Technical issue,Product inquiry,Critical,Critical
2118,Battery life,Technical issue,Technical issue,High,High
2119,Software bug,Billing inquiry,Billing inquiry,Low,Medium
2120,Software bug,Refund request,Refund request,Critical,Medium
2121,Product compatibility,Product inquiry,Product inquiry,High,High
2122,Refund request,Refund request,Product inquiry,Critical,Critical
2123,Display issue,Cancellation request,Cancellation request,Medium,Low
2124,Delivery problem,Billing inquiry,Cancellation request,Medium,Medium
2125,Product recommendation,Technical issue,Technical issue,High,Low
2126,Payment issue,Technical issue,Technical issue,High,Medium
2127,Product setup,Product inquiry,Product inquiry,Low,Critical
2128,Peripheral compatibility,Refund request,Refund request,Low,Low
2129,Refund request,Cancellation request,Cancellation request,Medium,Medium
2130,Product recommendation,Cancellation request,Cancellation request,Critical,Low
2131,Installation support,Technical issue,Technical issue,Low,Low
2132,Product setup,Product inquiry,Technical issue,Critical,Critical
2133,Product compatibility,Product inquiry,Billing inquiry,Medium,Medium
2134,Refund request,Billing inquiry,Billing inquiry,Critical,Critical
2135,Battery life,Product inquiry,Refund request,Low,Low
2136,Delivery problem,Technical issue,Cancellation request,High,High
2137,Network problem,Refund request,Refund request,Critical,Critical
2138,Hardware issue,Product inquiry,Product inquiry,Low,Low
2139,Software bug,Cancellation request,Billing inquiry,Critical,Critical
2140,Software bug,Billing inquiry,Refund request,Critical,Medium
2141,Display issue,Refund request,Cancellation request,Low,High
2142,Product recommendation,Refund request,Product inquiry,High,High
2143,Battery life,Technical issue,Technical issue,Critical,Low
2144,Payment issue,Billing inquiry,Technical issue,High,Medium
2145,Software bug,Product inquiry,Cancellation request,High,High
2146,Peripheral compatibility,Refund request,Refund request,Low,Low
2147,Peripheral compatibility,Billing inquiry,Product inquiry,Critical,Critical
2148,Payment issue,Cancellation request,Technical issue,Critical,High
2149,Delivery problem,Billing inquiry,Technical issue,High,Critical
2150,Network problem,Billing inquiry,Product inquiry,Medium,Medium
2151,Peripheral compatibility,Refund request,Refund request,Critical,High
2152,Product setup,Billing inquiry,Billing inquiry,Low,Medium
2153,Hardware issue,Refund request,Refund request,Medium,Medium
2154,Refund request,Refund request,Refund request,High,High
2155,Payment issue,Product inquiry,Cancellation request,Medium,Medium
2156,Display issue,Billing inquiry,Billing inquiry,High,High
2157,Cancellation request,Product inquiry,Product inquiry,Low,Low
2158,Hardware issue,Product inquiry,Product inquiry,Critical,Critical
2159,Product setup,Product inquiry,Product inquiry,Critical,Critical
2160,Account access,Product inquiry,Product inquiry,Low,Low
2161,Account access,Billing inquiry,Billing inquiry,Medium,Medium
2162,Delivery problem,Technical issue,Billing inquiry,High,Critical
2163,Payment issue,Billing inquiry,Billing inquiry,Low,Low
2164,Delivery problem,Billing inquiry,Billing inquiry,Low,High
2165,Payment issue,Product inquiry,Billing inquiry,Critical,Medium
2166,Refund request,Refund request,Product inquiry,Low,High
2167,Product recommendation,Product inquiry,Product inquiry,Low,Low
2168,Payment issue,Cancellation request,Cancellation request,High,Medium
2169,Product setup,Technical issue,Technical issue,Critical,High
2170,Hardware issue,Billing inquiry,Refund request,Medium,Low
2171,Hardware issue,Product inquiry,Refund request,Medium,Critical
2172,Delivery problem,Billing inquiry,Technical issue,Medium,Medium
2173,Network problem,Refund request,Refund request,Critical,Critical
2174,Product compatibility,Refund request,Product inquiry,Low,Medium
2175,Display issue,Product inquiry,Refund request,High,Medium
2176,Hardware issue,Product inquiry,Product inquiry,Low,Low
2177,Display issue,Cancellation request,Cancellation request,High,High
2178,Refund request,Billing inquiry,Technical issue,High,High
2179,Network problem,Product inquiry,Cancellation request,Low,Low
2180,Account access,Product inquiry,Refund request,High,High
2181,Cancellation request,Cancellation request,Cancellation request,High,High
2182,Product recommendation,Cancellation request,Cancellation request,Critical,Low
2183,Battery life,Cancellation request,Cancellation request,High,Medium
2184,Product recommendation,Refund request,Technical issue,High,Low
2185,Refund request,Refund request,Refund request,Medium,Medium
2186,Peripheral compatibility,Billing inquiry,Billing inquiry,Medium,Critical
2187,Peripheral compatibility,Billing inquiry,Billing inquiry,High,High
2188,Peripheral compatibility,Refund request,Refund request,Low,Low
2189,Cancellation request,Cancellation request,Refund request,Medium,Medium
2190,Data loss,Cancellation request,Billing inquiry,High,Low
2191,Cancellation request,Cancellation request,Product inquiry,High,Critical
2192,Battery life,Refund request,Refund request,Low,Low
2193,Payment issue,Product inquiry,Technical issue,Medium,Medium
2194,Product compatibility,Billing inquiry,Technical issue,Medium,Medium
2195,Product recommendation,Technical issue,Refund request,Critical,High
2196,Installation support,Cancellation request,Billing inquiry,Critical,Critical
2197,Product compatibility,Billing inquiry,Billing inquiry,Medium,Low
2198,Cancellation request,Cancellation request,Technical issue,Low,Low
2199,Account access,Billing inquiry,Billing inquiry,Critical,High
2200,Payment issue,Billing inquiry,Billing inquiry,Medium,Medium
2201,Product recommendation,Product inquiry,Product inquiry,Critical,Critical
2202,Product setup,Billing inquiry,Billing inquiry,Low,Low
2203,Product setup,Product inquiry,Product inquiry,Medium,Medium
2204,Peripheral compatibility,Refund request,Refund request,Critical,Critical
2205,Data loss,Cancellation request,Cancellation request,Medium,Medium
2206,Software bug,Product inquiry,Product inquiry,High,Medium
2207,Refund request,Cancellation request,Technical issue,Medium,Medium
2208,Battery life,Technical issue,Technical issue,Medium,Medium
2209,Network problem,Cancellation request,Product inquiry,Low,Low
2210,Delivery problem,Refund request,Refund request,Medium,High
2211,Delivery problem,Product inquiry,Technical issue,Medium,High
2212,Hardware issue,Refund request,Product inquiry,High,Medium
2213,Hardware issue,Technical issue,Technical issue,High,High
2214,Display issue,Refund request,Refund request,Medium,Medium
2215,Network problem,Refund request,Product inquiry,Critical,Medium
2216,Software bug,Technical issue,Technical issue,High,Critical
2217,Installation support,Billing inquiry,Billing inquiry,Critical,High
2218,Display issue,Technical issue,Billing inquiry,Critical,Low
2219,Cancellation request,Technical issue,Technical issue,High,Medium
2220,Battery life,Cancellation request,Cancellation request,Medium,Medium
2221,Product compatibility,Cancellation request,Cancellation request,Low,Medium
2222,Display issue,Refund request,Refund request,High,High
2223,Product compatibility,Billing inquiry,Billing inquiry,High,Medium
2224,Product compatibility,Refund request,Technical issue,Critical,Medium
2225,Network problem,Technical issue,Technical issue,Critical,Critical
2226,Network problem,Cancellation request,Technical issue,Critical,Critical
2227,Product recommendation,Product inquiry,Product inquiry,Low,Low
2228,Cancellation request,Technical issue,Cancellation request,Critical,Medium
2229,Installation support,Technical issue,Cancellation request,High,Low
2230,Cancellation request,Refund request,Refund request,Medium,Medium
2231,Software bug,Product inquiry,Product inquiry,High,Low
2232,Payment issue,Technical issue,Billing inquiry,Medium,Medium
2233,Installation support,Product inquiry,Product inquiry,Medium,Medium
2234,Product setup,Refund request,Refund request,Low,Low
2235,Data loss,Product inquiry,Product inquiry,Critical,Critical
2236,Data loss,Technical issue,Product inquiry,Critical,Critical
2237,Hardware issue,Technical issue,Product inquiry,Medium,Low
2238,Display issue,Refund request,Refund request,High,High
2239,Peripheral compatibility,Cancellation request,Product inquiry,High,Low
2240,Hardware issue,Refund request,Refund request,Low,Low
2241,Delivery problem,Refund request,Billing inquiry,High,High
2242,Refund request,Billing inquiry,Billing inquiry,Low,Medium
2243,Refund request,Refund request,Refund request,Critical,Critical
2244,Display issue,Cancellation request,Cancellation request,Medium,Medium
2245,Peripheral compatibility,Technical issue,Technical issue,High,Low
2246,Product compatibility,Product inquiry,Product inquiry,Medium,Critical
2247,Battery life,Product inquiry,Billing inquiry,Low,Low
2248,Data loss,Technical issue,Technical issue,Critical,Low
2249,Software bug,Technical issue,Product inquiry,Medium,Low
2250,Refund request,Billing inquiry,Cancellation request,Critical,Low
2251,Cancellation request,Refund request,Refund request,High,High
2252,Software bug,Product inquiry,Billing inquiry,High,High
2253,Product setup,Cancellation request,Billing inquiry,High,Critical
2254,Account access,Cancellation request,Cancellation request,High,High
2255,Payment issue,Billing inquiry,Billing inquiry,High,High
2256,Network problem,Refund request,Refund request,Critical,Critical
2257,Account access,Technical issue,Billing inquiry,High,High
2258,Data loss,Refund request,Refund request,High,High
2259,Product setup,Cancellation request,Product inquiry,High,Medium
2260,Payment issue,Cancellation request,Refund request,High,High
2261,Data loss,Product inquiry,Product inquiry,Low,Critical
2262,Delivery problem,Cancellation request,Technical issue,Medium,Medium
2263,Display issue,Refund request,Cancellation request,High,High
2264,Payment issue,Cancellation request,Cancellation request,Low,High
2265,Refund request,Product inquiry,Refund request,Low,Critical
2266,Delivery problem,Technical issue,Technical issue,Medium,Medium
2267,Peripheral compatibility,Product inquiry,Billing inquiry,Critical,Critical
2268,Cancellation request,Cancellation request,Cancellation request,Low,Low
2269,Network problem,Refund request,Product inquiry,Medium,Critical
2270,Refund request,Technical issue,Product inquiry,Critical,Medium
2271,Software bug,Billing inquiry,Billing inquiry,Critical,Medium
2272,Product recommendation,Billing inquiry,Billing inquiry,Low,Low
2273,Hardware issue,Product inquiry,Refund request,Low,Critical
2274,Product recommendation,Product inquiry,Product inquiry,Medium,Medium
2275,Product setup,Billing inquiry,Technical issue,Critical,Critical
2276,Product setup,Technical issue,Technical issue,Low,Low
2277,Peripheral compatibility,Technical issue,Refund request,Low,Medium
2278,Product recommendation,Refund request,Product inquiry,Low,Low
2279,Payment issue,Billing inquiry,Billing inquiry,Critical,Critical
2280,Refund request,Cancellation request,Cancellation request,Critical,Medium
2281,Account access,Refund request,Refund request,Low,Low
2282,Software bug,Technical issue,Billing inquiry,Low,Low
2283,Cancellation request,Product inquiry,Cancellation request,Medium,Medium
2284,Refund request,Refund request,Product inquiry,Low,Critical
2285,Product setup,Product inquiry,Product inquiry,High,Low
2286,Product setup,Refund request,Refund request,Critical,Critical
2287,Hardware issue,Billing inquiry,Billing inquiry,Critical,Low
2288,Payment issue,Product inquiry,Product inquiry,Medium,Medium
2289,Cancellation request,Cancellation request,Cancellation request,Low,Medium
2290,Cancellation request,Cancellation request,Cancellation request,Critical,Medium
2291,Hardware issue,Refund request,Refund request,Medium,Critical
2292,Installation support,Refund request,Refund request,Medium,High
2293,Peripheral compatibility,Refund request,Refund request,Medium,Medium
2294,Hardware issue,Product inquiry,Product inquiry,Medium,Critical
2295,Account access,Cancellation request,Cancellation request,High,High
2296,Peripheral compatibility,Billing inquiry,Billing inquiry,Medium,Medium
2297,Hardware issue,Product inquiry,Cancellation request,Low,High
2298,Battery life,Cancellation request,Cancellation request,Low,Low
2299,Account access,Technical issue,Technical issue,Critical,Critical
2300,Installation support,Refund request,Refund request,Medium,High
2301,Display issue,Billing inquiry,Technical issue,Low,High
2302,Hardware issue,Cancellation request,Cancellation request,Critical,Critical
2303,Payment issue,Cancellation request,Cancellation request,Low,Medium
2304,Product compatibility,Refund request,Product inquiry,Critical,High
2305,Installation support,Cancellation request,Cancellation request,Medium,Critical
2306,Product setup,Cancellation request,Cancellation request,Medium,Medium
2307,Software bug,Refund request,Refund request,Critical,Critical
2308,Network problem,Technical issue,Billing inquiry,Medium,Critical
2309,Hardware issue,Billing inquiry,Billing inquiry,High,High
2310,Product setup,Billing inquiry,Billing inquiry,High,Critical
2311,Data loss,Cancellation request,Cancellation request,Critical,Critical
2312,Product compatibility,Refund request,Cancellation request,High,High
2313,Cancellation request,Product inquiry,Technical issue,Medium,High
2314,Hardware issue,Cancellation request,Refund request,High,Medium
2315,Payment issue,Technical issue,Technical issue,High,High
2316,Network problem,Refund request,Billing inquiry,Critical,Critical
2317,Account access,Billing inquiry,Billing inquiry,Critical,High
